"n","d","direct_elapsed","sparse_elapsed","speedup_sparse_vs_direct","occupancy_rate","theoretical_vertices","sparse_visited_median","prefix_nodes_median","visited_ratio_median","prefix_ratio_median","max_abs_error"
5000,9,0.12955,0.0551499999999997,3.0119574502705,2.82128651936849e-05,512,6,228,0.01171875,0.4453125,3.55753837846806e-20
5000,10,0.3511,0.02975,11.9593433281958,6.01736475705405e-06,1024,4,261.5,0.00390625,0.25537109375,1.10114283143059e-20
5000,11,0.61075,0.0326,19.0858870967742,1.12418608654969e-06,2048,3,290,0.00146484375,0.1416015625,1.90582413132218e-21
5000,12,2.07955,0.0377000000000002,55.8685592291263,2.12703253661051e-07,4096,2,320,0.00048828125,0.078125,7.41153828847513e-22
10000,2,0.000499999999999545,0.000600000000000023,0.833333333332544,0.521303258145363,4,4,6,1,1.5,1.38777878078145e-17
10000,3,0.000900000000000034,0.00120000000000005,0.75,0.251925925925926,8,8,14,1,1.75,2.08166817117217e-17
10000,4,0.00229999999999961,0.00375000000000085,0.693627450980129,0.073968561024774,16,16,30,1,1.875,8.67361737988402e-18
10000,5,0.0048000000000016,0.00604999999999905,0.798930921053031,0.0220182411233548,32,23,62,0.71875,1.9375,3.46944695195361e-18
10000,6,0.0153000000000006,0.0111000000000004,1.48214285714286,0.00453329690594904,64,23,112,0.359375,1.75,1.73472347597681e-18
10000,7,0.0346500000000006,0.0213999999999998,1.67390109890112,0.00103287379972565,128,18,167,0.140625,1.3046875,5.42101086242752e-19
10000,8,0.0751499999999993,0.0205500000000001,3.65597470872403,0.00016783612856366,256,12,222,0.046875,0.8671875,3.11708124589582e-19
10000,9,0.17525,0.0485,4.21653022157045,2.69635705092381e-05,512,9,275,0.017578125,0.537109375,5.75982404132924e-20
10000,10,0.4181,0.0539000000000001,7.91825688435855,5.72538179625209e-06,1024,6,320,0.005859375,0.3125,1.35525271560688e-20
10000,11,0.848500000000001,0.0570000000000007,15.0354952570724,1.08742905366752e-06,2048,4,363,0.001953125,0.17724609375,2.43521972335611e-21
10000,12,2.0184,0.0559499999999985,36.0682960956326,1.6785769505836e-07,4096,3,399,0.000732421875,0.097412109375,1.00585162486448e-21
